sample,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
3554,34.70703125,-15.46680275,6.047631423,14.27225779,84.20088523,206.7942078,-166.2678085
3555,34.71679688,-33.07035413,16.53016373,15.91601897,21.33199097,61.4407252,-86.16105199
3556,34.7265625,-36.29334238,5.571404448,16.55981797,-46.49180909,-34.53661343,-69.32372699
3557,34.73632813,-6.86018178,-1.11264992,18.31908228,-36.6902345,-258.5853248,12.3015468
3558,34.74609375,6.332268811,2.861307557,16.71476679,-6.255812124,-328.567485,90.37374878
3559,34.75585938,9.341677675,5.12375133,13.20065779,9.759600117,-323.3188014,132.4223881
3560,34.765625,8.29794455,5.965151936,10.70577661,10.47054473,-304.3054295,157.4142694
3561,34.77539063,4.264495889,9.091346738,7.519121142,-11.07482278,-278.0781712,190.3980775
3562,34.78515625,3.177835427,12.06447459,6.260395706,-65.6581512,-272.8828082,227.7039644
3563,34.79492188,3.025628299,11.6198297,5.726248911,-139.60504,-263.4941935,248.639218
3564,34.8046875,1.939176752,7.052047033,5.250714781,-201.6435112,-251.8845638,251.8771138
3565,34.81445313,0.925387015,2.755600293,5.157801862,-218.8551221,-250.4764818,255.18645
3566,34.82421875,-1.025677395,1.301033041,5.064022577,-202.2406881,-255.1315239,257.2296458
3567,34.83398438,-2.06059016,2.858779848,5.079896972,-172.9608652,-269.5465663,255.7877307
3568,34.84375,-2.981324353,2.86190459,4.890450394,-160.3515079,-277.94419,246.0148527
3569,34.85351563,-3.879608013,5.220526958,5.420078183,-142.2794724,-289.7739692,227.5600394
3570,34.86328125,-5.446819785,5.985046775,6.254108503,-148.7017228,-302.5111567,207.5574018
3571,34.87304688,-7.022118654,6.116510513,7.001994254,-155.8541561,-313.4148365,185.9534904
